# Program:featureCounts v1.6.0; Command:"featureCounts" "-T" "1" "-t" "exon" "-g" "Parent" "-a" "../Reference_Data/PlasmoDB-41_Pfalciparum3D7.gff" "-o" "vehicle_drug_feature_counts_exons.txt" "-p" "vehicle_rep1.bam" "vehicle_rep2.bam" "drug_rep1.bam" "drug_rep2.bam" 
Geneid	Chr	Start	End	Strand	Length	vehicle_rep1.bam	vehicle_rep2.bam	drug_rep1.bam	drug_rep2.bam
PF3D7_0621350.1	Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3	876679;876876;877123	876803;876991;877298	-;-;-	417	0	7	3	4
PF3D7_1314600.1	Pf3D7_13_v3	624785	626011	+	1227	68	54	13	25
PF3D7_0209400.1	Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3	388424;388716;388945;389268;389427;389742;390504	388457;388784;389162;389336;389618;390404;390611	-;-;-;-;-;-;-	1353	305	286	208	206
PF3D7_1142200.1	Pf3D7_11_v3;Pf3D7_11_v3;Pf3D7_11_v3	1692897;1693768;1694074	1693581;1693837;1694137	-;-;-	819	8	20	11	3
PF3D7_0507200.1	Pf3D7_05_v3	298427	300736	-	2310	43	45	51	43
PF3D7_0806000.1	Pf3D7_08_v3;Pf3D7_08_v3	326215;326428	326276;330004	-;-	3639	81	62	57	66
PF3D7_1006800.1	Pf3D7_10_v3;Pf3D7_10_v3;Pf3D7_10_v3;Pf3D7_10_v3	277621;278072;278353;278663	277638;278209;278431;279168	+;+;+;+	741	1199	924	1028	1184
PF3D7_0412000.1	Pf3D7_04_v3	536774	539110	+	2337	291	259	392	581
PF3D7_0732200.1	Pf3D7_07_v3;Pf3D7_07_v3	1390711;1390997	1390764;1392043	+;+	1101	3	0	39	68
PF3D7_0324800.1	Pf3D7_03_v3;Pf3D7_03_v3	1027571;1027883	1027639;1028929	+;+	1116	1	0	1	0
PF3D7_1227500.1	Pf3D7_12_v3;Pf3D7_12_v3	1114025;1114925	1114767;1121093	-;-	6912	419	369	331	435
PF3D7_0301800.1	Pf3D7_03_v3;Pf3D7_03_v3	104325;104708	104524;105281	+;+	774	10	10	147	163
PF3D7_0920900.1	Pf3D7_09_v3;Pf3D7_09_v3	855516;856590	856261;857286	+;+	1443	229	164	128	188
PF3D7_1443600.1	Pf3D7_14_v3	1784933	1790629	-	5697	28	34	20	32
PF3D7_0415900.1	Pf3D7_04_v3;Pf3D7_04_v3	697918;698677	698443;698768	-;-	618	3132	3383	2431	2359
PF3D7_0214100.1	Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3	568529;568699;569171;569376	568565;569048;569259;573315	-;-;-;-	4416	1632	1439	807	1281
PF3D7_0726100.1	Pf3D7_07_v3;Pf3D7_07_v3	1093566;1095922	1095776;1096122	-;-	2412	10	6	24	35
PF3D7_0717700.1	Pf3D7_07_v3	764794	766413	-	1620	1335	1484	1112	1270
PF3D7_1342200.1	Pf3D7_13_v3	1660812	1663730	-	2919	14	18	8	8
PF3D7_1400700.1	Pf3D7_14_v3;Pf3D7_14_v3	24337;25252	25149;25320	-;-	882	0	0	0	0
PF3D7_1322800.1	Pf3D7_13_v3;Pf3D7_13_v3	960166;960491	960357;960646	+;+	348	49	66	27	20
PF3D7_1477400.1	Pf3D7_14_v3;Pf3D7_14_v3	3183248;3183627	3183433;3184352	+;+	912	1	0	0	0
