GeneID	Product_Description
PF3D7_0100100	erythrocyte membrane protein 1, PfEMP1
PF3D7_0100200	rifin
PF3D7_0100300	erythrocyte membrane protein 1, PfEMP1
PF3D7_0100400	rifin
PF3D7_0100500	erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene
PF3D7_0100600	rifin
PF3D7_0100700	Plasmodium exported protein, unknown function, fragment
PF3D7_0100800	rifin
PF3D7_0100900	rifin
PF3D7_0101000	rifin
PF3D7_0101100	exported protein family 4
PF3D7_0101200	exported protein family 3
PF3D7_0101300	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0101400	exported protein family 1, pseudogene
PF3D7_0101500	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene
PF3D7_0101600	rifin
PF3D7_0101700	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene
PF3D7_0101800	stevor
PF3D7_0101900	rifin
PF3D7_0102000	Plasmodium exported protein (PHISTa), unknown function, pseudogene
PF3D7_0102100	stevor, pseudogene
PF3D7_0102200	ring-infected erythrocyte surface antigen
PF3D7_0102300	Plasmodium exported protein, unknown function
PF3D7_0102400	lysophospholipase, putative, pseudogene
PF3D7_0102500	erythrocyte binding antigen-181
PF3D7_0102600	serine/threonine protein kinase, FIKK family
PF3D7_0102700	merozoite-associated tryptophan-rich antigen
PF3D7_0102800	seipin domain-containing protein, putative
PF3D7_0102900	aspartate--tRNA ligase
PF3D7_0103000	vacuolar protein sorting-associated protein VTA1, putative
PF3D7_0103100	vacuolar protein sorting-associated protein 51, putative
PF3D7_0103200	nucleoside transporter 4
PF3D7_0103300	conserved protein, unknown function
PF3D7_0103400	zinc-carboxypeptidase, putative
PF3D7_0103500	conserved Plasmodium protein, unknown function
PF3D7_0103600	ATP-dependent DNA/RNA helicase PSH1
PF3D7_0103700	L-seryl-tRNA(Sec) kinase, putative
PF3D7_0103800	actin-related protein
PF3D7_0103900	parasite-infected erythrocyte surface protein
PF3D7_0104000	thrombospondin-related sporozoite protein
PF3D7_0104100	conserved Plasmodium membrane protein, unknown function
PF3D7_0104200	StAR-related lipid transfer protein
PF3D7_0104300	ubiquitin carboxyl-terminal hydrolase 1, putative
PF3D7_0104400	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
PF3D7_0104500	conserved protein, unknown function
PF3D7_0104600	conserved Plasmodium protein, unknown function
PF3D7_0104700	major facilitator superfamily-related transporter, putative
PF3D7_0104800	novel putative transporter 1, putative
PF3D7_0104900	RNase MRP
PF3D7_0105000	non-coding RNA
PF3D7_0105100	conserved Apicomplexan protein, unknown function
PF3D7_0105200	heptatricopeptide repeat and RAP domain-containing protein, putative
PF3D7_0105300	cyclase-associated protein
PF3D7_0105400	conserved Plasmodium protein, unknown function
PF3D7_0105500	conserved protein, unknown function
PF3D7_0105600	FtsJ-like methyltransferase, putative
PF3D7_0105700	asparagine-rich antigen Pfa35-2
PF3D7_0105800	cyclin-dependent kinases regulatory subunit, putative
PF3D7_0105900	3'-5' exonuclease, putative
PF3D7_0106000	conserved protein, unknown function
PF3D7_0106100	V-type proton ATPase subunit C, putative
PF3D7_0106200	EF hand domain-containing protein, putative
PF3D7_0106300	calcium-transporting ATPase
PF3D7_0106400	pre-rRNA-processing protein TSR2, putative
PF3D7_0106500	conserved Plasmodium protein, unknown function
PF3D7_0106600	conserved Plasmodium protein, unknown function
PF3D7_0106700	small ribosomal subunit assembling AARP2 protein
PF3D7_0106800	ras-related protein Rab-5C
PF3D7_0106900	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative
PF3D7_0107000	centrin-1
PF3D7_0107100	conserved protein, unknown function
PF3D7_0107200	CCR4 domain-containing protein 3, putative
PF3D7_0107300	conserved Plasmodium protein, unknown function
PF3D7_0107400	ATP synthase-associated protein, putative
PF3D7_0107500	Niemann-Pick type C1-related protein
PF3D7_0107600	eukaryotic translation initiation factor 2-alpha kinase 2, putative
PF3D7_0107700	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative
PF3D7_0107800	double-strand break repair protein MRE11
PF3D7_0107900	conserved Plasmodium protein, unknown function
PF3D7_0108000	proteasome subunit beta type-3, putative
PF3D7_0108100	conserved protein, unknown function
PF3D7_0108300	conserved Plasmodium protein, unknown function
PF3D7_0108400	mitochondrial carrier protein, putative
PF3D7_0108500	EELM2 domain-containing protein, putative
PF3D7_0108600	DnaJ domain-containing protein, putative
PF3D7_0108700	secreted ookinete protein, putative
PF3D7_0108800	mitochondrial carrier protein, putative
PF3D7_0108900	non-coding RNA
PF3D7_0109000	photosensitized INA-labeled protein PHIL1
PF3D7_0109100	LCCL domain-containing protein
PF3D7_0109200	cleavage and polyadenylation specificity factor subunit 5, putative
PF3D7_0109300	elongation of fatty acids protein, putative
PF3D7_0109400	tubulin-specific chaperone a, putative
PF3D7_0109500	N-acetyltransferase, GNAT family, putative
PF3D7_0109600	cold-shock protein, putative
PF3D7_0109700	rRNA biogenesis protein RRP36, putative
PF3D7_0109800	phenylalanine--tRNA ligase alpha subunit
PF3D7_0109850	phosphatidate cytidylyltransferase, putative
PF3D7_0109950	conserved protein, unknown function
PF3D7_0110000	conserved Plasmodium protein, unknown function
PF3D7_0110100	selenocysteine-specific elongation factor, putative
PF3D7_0110200	FAD-linked sulfhydryl oxidase ERV1, putative
PF3D7_0110300	Plasmodium RNA of unknown function RUF5
PF3D7_0110400	DNA-directed RNA polymerase II subunit RPB9, putative
PF3D7_0110500	bromodomain protein 3, putative
PF3D7_0110600	phosphatidylinositol-4-phosphate 5-kinase
PF3D7_0110700	chromatin assembly factor 1 subunit C, putative
PF3D7_0110800	transcription initiation factor TFIIB, putative
PF3D7_0110900	adenylate kinase-like protein 1
PF3D7_0111000	kinesin-8B, putative
PF3D7_0111200	conserved protein, unknown function
PF3D7_0111300	P-loop containing nucleoside triphosphate hydrolase, putative
PF3D7_0111400	conserved Plasmodium protein, unknown function
PF3D7_0111500	UMP-CMP kinase, putative
PF3D7_0111600	conserved Plasmodium protein, unknown function
PF3D7_0111700	conserved protein, unknown function
PF3D7_0111800	eukaryotic translation initiation factor 4E, putative
PF3D7_0111900	conserved protein, unknown function
PF3D7_0112000	TatD-like deoxyribonuclease
PF3D7_0112100	conserved Plasmodium protein, unknown function
PF3D7_0112200	multidrug resistance-associated protein 1
PF3D7_0112300	18S ribosomal RNA
PF3D7_0112400	unspecified product
PF3D7_0112500	5.8S ribosomal RNA
PF3D7_0112600	unspecified product
PF3D7_0112700	28S ribosomal RNA
PF3D7_0112800	Plasmodium exported protein (hyp11), unknown function
PF3D7_0112900	Plasmodium exported protein, unknown function
PF3D7_0113000	glutamic acid-rich protein GARP
PF3D7_0113100	surface-associated interspersed protein 1.1 (SURFIN 1.1)
PF3D7_0113200	Plasmodium exported protein, unknown function
PF3D7_0113300	Plasmodium exported protein (hyp1), unknown function
PF3D7_0113400	Plasmodium exported protein, unknown function
PF3D7_0113600	surface-associated interspersed protein 1.2 (SURFIN 1.2), pseudogene
PF3D7_0113700	heat shock protein 40, type II
PF3D7_0113800	DBL containing protein, unknown function
PF3D7_0113900	CX3CL1-binding protein 1
PF3D7_0114000	exported protein family 1
PF3D7_0114100	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0114200	exported protein family 3
PF3D7_0114300	exported protein family 4, pseudogene
PF3D7_0114400	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene
PF3D7_0114500	Plasmodium exported protein (hyp10), unknown function
PF3D7_0114600	stevor, pseudogene
PF3D7_0114700	rifin
PF3D7_0114800	Plasmodium exported protein (hyp7), unknown function
PF3D7_0114900	Plasmodium exported protein, unknown function, pseudogene
PF3D7_0115000	surface-associated interspersed protein 1.3 (SURFIN 1.3)
PF3D7_0115050	H/ACA snoRNA
PF3D7_0115100	Plasmodium exported protein (PHISTa), unknown function
PF3D7_0115150	Plasmodium exported protein, unknown function, pseudogene
PF3D7_0115200	rifin
PF3D7_0115300	rifin
PF3D7_0115400	stevor
PF3D7_0115500	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_0115600	rifin
PF3D7_0115700	erythrocyte membrane protein 1, PfEMP1
PF3D7_0200100	erythrocyte membrane protein 1, PfEMP1
PF3D7_0200200	rifin
PF3D7_0200300	erythrocyte membrane protein 1 (PfEMP1), exon 2
PF3D7_0200400	stevor
PF3D7_0200500	rifin
PF3D7_0200600	rifin
PF3D7_0200700	rifin
