Transcript_ID	Product_Description
PF3D7_0100100.1	erythrocyte membrane protein 1, PfEMP1
PF3D7_0100200.1	rifin
PF3D7_0100300.1	erythrocyte membrane protein 1, PfEMP1
PF3D7_0100400.1	rifin
PF3D7_0100500.1	erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene
PF3D7_0100600.1	rifin
PF3D7_0100700.1	Plasmodium exported protein, unknown function, fragment
PF3D7_0100800.1	rifin
PF3D7_0100900.1	rifin
PF3D7_0101000.1	rifin
PF3D7_0101100.1	exported protein family 4
PF3D7_0101200.1	exported protein family 3
PF3D7_0101300.1	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0101400.1	exported protein family 1, pseudogene
PF3D7_0101500.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene
PF3D7_0101600.1	rifin
PF3D7_0101700.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene
PF3D7_0101800.1	stevor
PF3D7_0101900.1	rifin
PF3D7_0102000.1	Plasmodium exported protein (PHISTa), unknown function, pseudogene
PF3D7_0102100.1	stevor, pseudogene
PF3D7_0102200.1	ring-infected erythrocyte surface antigen
PF3D7_0102300.1	Plasmodium exported protein, unknown function
PF3D7_0102400.1	lysophospholipase, putative, pseudogene
PF3D7_0102500.1	erythrocyte binding antigen-181
PF3D7_0102600.1	serine/threonine protein kinase, FIKK family
PF3D7_0102700.1	merozoite-associated tryptophan-rich antigen
PF3D7_0102800.1	seipin domain-containing protein, putative
PF3D7_0102900.1	aspartate--tRNA ligase
PF3D7_0103000.1	vacuolar protein sorting-associated protein VTA1, putative
PF3D7_0103100.1	vacuolar protein sorting-associated protein 51, putative
PF3D7_0103200.1	nucleoside transporter 4
PF3D7_0103300.1	conserved protein, unknown function
PF3D7_0103400.1	zinc-carboxypeptidase, putative
PF3D7_0103500.1	conserved Plasmodium protein, unknown function
PF3D7_0103600.1	ATP-dependent DNA/RNA helicase PSH1
PF3D7_0103700.1	L-seryl-tRNA(Sec) kinase, putative
PF3D7_0103800.1	actin-related protein
PF3D7_0103900.1	parasite-infected erythrocyte surface protein
PF3D7_0104000.1	thrombospondin-related sporozoite protein
PF3D7_0104100.1	conserved Plasmodium membrane protein, unknown function
PF3D7_0104200.1	StAR-related lipid transfer protein
PF3D7_0104300.1	ubiquitin carboxyl-terminal hydrolase 1, putative
PF3D7_0104400.1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
PF3D7_0104500.1	conserved protein, unknown function
PF3D7_0104600.1	conserved Plasmodium protein, unknown function
PF3D7_0104700.1	major facilitator superfamily-related transporter, putative
PF3D7_0104800.1	novel putative transporter 1, putative
PF3D7_0104900.1	RNase MRP
PF3D7_0105000.1	non-coding RNA
PF3D7_0105100.1	conserved Apicomplexan protein, unknown function
PF3D7_0105200.1	heptatricopeptide repeat and RAP domain-containing protein, putative
PF3D7_0105300.1	cyclase-associated protein
PF3D7_0105400.1	conserved Plasmodium protein, unknown function
PF3D7_0105400.2	conserved Plasmodium protein, unknown function
PF3D7_0105500.1	conserved protein, unknown function
PF3D7_0105600.1	FtsJ-like methyltransferase, putative
PF3D7_0105700.1	asparagine-rich antigen Pfa35-2
PF3D7_0105800.1	cyclin-dependent kinases regulatory subunit, putative
PF3D7_0105900.1	3'-5' exonuclease, putative
PF3D7_0106000.1	conserved protein, unknown function
PF3D7_0106100.1	V-type proton ATPase subunit C, putative
PF3D7_0106200.1	EF hand domain-containing protein, putative
PF3D7_0106300.1	calcium-transporting ATPase
PF3D7_0106400.1	pre-rRNA-processing protein TSR2, putative
PF3D7_0106500.1	conserved Plasmodium protein, unknown function
PF3D7_0106600.1	conserved Plasmodium protein, unknown function
PF3D7_0106700.1	small ribosomal subunit assembling AARP2 protein
PF3D7_0106800.1	ras-related protein Rab-5C
PF3D7_0106900.1	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative
PF3D7_0107000.1	centrin-1
PF3D7_0107100.1	conserved protein, unknown function
PF3D7_0107200.1	CCR4 domain-containing protein 3, putative
PF3D7_0107300.1	conserved Plasmodium protein, unknown function
PF3D7_0107400.1	ATP synthase-associated protein, putative
PF3D7_0107500.1	Niemann-Pick type C1-related protein
PF3D7_0107600.1	eukaryotic translation initiation factor 2-alpha kinase 2, putative
PF3D7_0107700.1	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative
PF3D7_0107800.1	double-strand break repair protein MRE11
PF3D7_0107900.1	conserved Plasmodium protein, unknown function
PF3D7_0108000.1	proteasome subunit beta type-3, putative
PF3D7_0108100.1	conserved protein, unknown function
PF3D7_0108300.1	conserved Plasmodium protein, unknown function
PF3D7_0108400.1	mitochondrial carrier protein, putative
PF3D7_0108400.2	mitochondrial carrier protein, putative
PF3D7_0108500.1	EELM2 domain-containing protein, putative
PF3D7_0108600.1	DnaJ domain-containing protein, putative
PF3D7_0108700.1	secreted ookinete protein, putative
PF3D7_0108800.1	mitochondrial carrier protein, putative
PF3D7_0108900.1	non-coding RNA
PF3D7_0109000.1	photosensitized INA-labeled protein PHIL1
PF3D7_0109100.1	LCCL domain-containing protein
PF3D7_0109200.1	cleavage and polyadenylation specificity factor subunit 5, putative
PF3D7_0109300.1	elongation of fatty acids protein, putative
PF3D7_0109400.1	tubulin-specific chaperone a, putative
PF3D7_0109500.1	N-acetyltransferase, GNAT family, putative
PF3D7_0109600.1	cold-shock protein, putative
PF3D7_0109700.1	rRNA biogenesis protein RRP36, putative
PF3D7_0109800.1	phenylalanine--tRNA ligase alpha subunit
PF3D7_0109850.1	phosphatidate cytidylyltransferase, putative
PF3D7_0109950.1	conserved protein, unknown function
PF3D7_0110000.1	conserved Plasmodium protein, unknown function
PF3D7_0110100.1	selenocysteine-specific elongation factor, putative
PF3D7_0110200.1	FAD-linked sulfhydryl oxidase ERV1, putative
PF3D7_0110300.1	Plasmodium RNA of unknown function RUF5
PF3D7_0110400.1	DNA-directed RNA polymerase II subunit RPB9, putative
PF3D7_0110500.1	bromodomain protein 3, putative
PF3D7_0110600.1	phosphatidylinositol-4-phosphate 5-kinase
PF3D7_0110700.1	chromatin assembly factor 1 subunit C, putative
PF3D7_0110800.1	transcription initiation factor TFIIB, putative
PF3D7_0110900.1	adenylate kinase-like protein 1
PF3D7_0111000.1	kinesin-8B, putative
PF3D7_0111200.1	conserved protein, unknown function
PF3D7_0111300.1	P-loop containing nucleoside triphosphate hydrolase, putative
PF3D7_0111400.1	conserved Plasmodium protein, unknown function
PF3D7_0111500.1	UMP-CMP kinase, putative
PF3D7_0111600.1	conserved Plasmodium protein, unknown function
PF3D7_0111700.1	conserved protein, unknown function
PF3D7_0111800.1	eukaryotic translation initiation factor 4E, putative
PF3D7_0111900.1	conserved protein, unknown function
PF3D7_0112000.1	TatD-like deoxyribonuclease
PF3D7_0112100.1	conserved Plasmodium protein, unknown function
PF3D7_0112200.1	multidrug resistance-associated protein 1
PF3D7_0112300.1	18S ribosomal RNA
PF3D7_0112400.1	unspecified product
PF3D7_0112500.1	5.8S ribosomal RNA
PF3D7_0112600.1	unspecified product
PF3D7_0112700.1	28S ribosomal RNA
PF3D7_0112800.1	Plasmodium exported protein (hyp11), unknown function
PF3D7_0112900.1	Plasmodium exported protein, unknown function
PF3D7_0113000.1	glutamic acid-rich protein GARP
PF3D7_0113100.1	surface-associated interspersed protein 1.1 (SURFIN 1.1)
PF3D7_0113200.1	Plasmodium exported protein, unknown function
PF3D7_0113300.1	Plasmodium exported protein (hyp1), unknown function
PF3D7_0113400.1	Plasmodium exported protein, unknown function
PF3D7_0113600.1	surface-associated interspersed protein 1.2 (SURFIN 1.2), pseudogene
PF3D7_0113700.1	heat shock protein 40, type II
PF3D7_0113800.1	DBL containing protein, unknown function
PF3D7_0113900.1	CX3CL1-binding protein 1
PF3D7_0114000.1	exported protein family 1
PF3D7_0114100.1	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0114200.1	exported protein family 3
PF3D7_0114300.1	exported protein family 4, pseudogene
PF3D7_0114400.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene
PF3D7_0114500.1	Plasmodium exported protein (hyp10), unknown function
PF3D7_0114600.1	stevor, pseudogene
PF3D7_0114700.1	rifin
PF3D7_0114800.1	Plasmodium exported protein (hyp7), unknown function
PF3D7_0114900.1	Plasmodium exported protein, unknown function, pseudogene
PF3D7_0115000.1	surface-associated interspersed protein 1.3 (SURFIN 1.3)
PF3D7_0115050.1	H/ACA snoRNA
PF3D7_0115100.1	Plasmodium exported protein (PHISTa), unknown function
PF3D7_0115150.1	Plasmodium exported protein, unknown function, pseudogene
PF3D7_0115200.1	rifin
PF3D7_0115300.1	rifin
PF3D7_0115400.1	stevor
PF3D7_0115500.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_0115600.1	rifin
PF3D7_0115700.1	erythrocyte membrane protein 1, PfEMP1
PF3D7_0200100.1	erythrocyte membrane protein 1, PfEMP1
PF3D7_0200200.1	rifin
PF3D7_0200300.1	erythrocyte membrane protein 1 (PfEMP1), exon 2
PF3D7_0200400.1	stevor
PF3D7_0200500.1	rifin
PF3D7_0200600.1	rifin
PF3D7_0200700.1	rifin
PF3D7_0200800.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene
PF3D7_0200900.1	stevor, pseudogene
PF3D7_0201000.1	rifin
PF3D7_0201100.1	Plasmodium exported protein, unknown function, fragment
PF3D7_0201200.1	rifin
PF3D7_0201300.1	stevor
PF3D7_0201400.1	Plasmodium exported protein (hyp10), unknown function
PF3D7_0201500.1	Plasmodium exported protein (hyp9), unknown function
PF3D7_0201600.1	PHISTb domain-containing RESA-like protein 1
PF3D7_0201700.1	DnaJ protein, putative
PF3D7_0201800.1	knob associated heat shock protein 40
PF3D7_0201900.1	erythrocyte membrane protein 3
PF3D7_0202000.1	knob-associated histidine-rich protein
PF3D7_0202100.1	liver stage associated protein 2
PF3D7_0202200.1	EMP1-trafficking protein
PF3D7_0202300.1	Plasmodium exported protein (hyp11), unknown function
PF3D7_0202400.1	translation-enhancing factor
PF3D7_0202500.1	early transcribed membrane protein 2
PF3D7_0202600.1	nucleic acid-binding protein, putative
PF3D7_0202600.2	nucleic acid-binding protein, putative
PF3D7_0202700.1	octaprenyl pyrophosphate synthase
PF3D7_0202800.1	conserved Plasmodium protein, unknown function
PF3D7_0202900.1	palmitoyltransferase DHHC12, putative
PF3D7_0203000.1	repetitive organellar protein, putative
PF3D7_0203100.1	protein kinase, putative
PF3D7_0203200.1	conserved Plasmodium protein, unknown function
PF3D7_0203300.1	ERCC1 nucleotide excision repair protein, putative
PF3D7_0203400.1	conserved Plasmodium protein, unknown function
PF3D7_0203500.1	tRNA Glutamine
PF3D7_0203600.1	conserved Plasmodium protein, unknown function
PF3D7_0203700.1	protein MAK16, putative
PF3D7_0203800.1	conserved Plasmodium protein, unknown function
PF3D7_0203900.1	5'-3' exonuclease, putative
PF3D7_0204000.1	condensin-2 complex subunit H2, putative
PF3D7_0204100.1	Sel1 repeat-containing protein, putative
PF3D7_0204200.1	conserved Plasmodium protein, unknown function
PF3D7_0204300.1	conserved Plasmodium protein, unknown function
PF3D7_0204400.1	dynein light chain, putative
PF3D7_0204500.1	aspartate transaminase
PF3D7_0204600.1	5'-3' exonuclease, putative
PF3D7_0204700.1	hexose transporter
PF3D7_0204800.1	3'-5' exonuclease, putative
PF3D7_0204900.1	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial, putative
PF3D7_0205000.1	conserved Plasmodium protein, unknown function
PF3D7_0205100.1	conserved Plasmodium protein, unknown function
PF3D7_0205200.1	MORN repeat protein, putative
PF3D7_0205300.1	conserved Plasmodium protein, unknown function
PF3D7_0205400.1	PCI domain-containing protein, putative
PF3D7_0205500.1	DNA-directed RNA polymerase II 16 kDa subunit, putative
PF3D7_0205600.1	conserved Plasmodium protein, unknown function
PF3D7_0205700.1	RNA-binding protein, putative
PF3D7_0205700.2	RNA-binding protein, putative
PF3D7_0205800.1	PH domain-containing protein, putative
